classe;admissible;terme;commentaire;source;privilegie;page;ligne_page
1;;sel à usage industriel;;OMPI;;3;48
1;;sels à usage industriel;;OMPI;;3;49
1;;acides minéraux;;OMPI;;3;50
1;;préparations chimiques de prophylaxie du mildiou;;OMPI;;3;51
1;;préparations chimiques pour prévenir le mildiou;;OMPI;;3;52
1;;méthane;;OMPI;;3;53
1;;préparations pour le recuit des métaux;;OMPI;;3;54
1;;métaux terreux;;OMPI;;3;55
1;;sels de métaux précieux à usage industriel;;OMPI;;3;56
1;;métalloïdes;;OMPI;;3;57
1;;oxyde de mercure;;OMPI;;3;58
1;;oxyde mercurique;;OMPI;;3;59
1;;sels de mercure;;OMPI;;3;60
1;;mercure;;OMPI;;3;61
1;;produits chimiques pour mater le verre;;OMPI;;3;62
1;;écorce de manglier à usage industriel;;OMPI;;3;63
1;;manganate;;OMPI;;3;64
1;;chlorure de magnésium;;OMPI;;3;65
1;;magnésite;;OMPI;;3;66
1;;produits pour la conservation des briques à l'exception des peintures et des huiles;;OMPI;;3;67
1;;produits pour la conservation de la maçonnerie à l'exception des peintures et des huiles;;OMPI;;3;68
1;;lithium;;OMPI;;3;69
1;;lithine;;OMPI;;3;70
1;;produits contre la ternissure des lentilles;;OMPI;;3;71
1;;préparations contre la ternissure des lentilles;;OMPI;;3;72
1;;lanthane;;OMPI;;3;73
1;;ferments lactiques à usage chimique;;OMPI;;3;74
1;;acide lactique;;OMPI;;3;75
1;;crypton;;OMPI;;3;76
1;;krypton;;OMPI;;3;77
1;;kieselgur;;OMPI;;3;78
1;;kaolin;;OMPI;;3;79
1;;isotopes à usage industriel;;OMPI;;3;80
1;;iodures à usage industriel;;OMPI;;3;81
1;;acide iodique;;OMPI;;3;82
1;;sels d'iode;;OMPI;;3;83
1;;iode à usage chimique;;OMPI;;3;84
1;;produits chimiques pour l'imperméabilisation du cuir;;OMPI;;3;85
1;;produits chimiques pour l'imprégnation des matières textiles;;OMPI;;3;86
1;;produits chimiques pour l'imperméabilisation des matières textiles;;OMPI;;3;87
1;;hyposulfites;;OMPI;;3;88
1;;hypochlorite de soude;;OMPI;;3;89
1;;hydrogène;;OMPI;;3;90
1;;hydrazine;;OMPI;;3;91
1;;hydrates de carbone;;OMPI;;3;92
1;;hydrates;;OMPI;;3;93
1;;humus;;OMPI;;3;94
1;;produits pour la purification des huiles;;OMPI;;3;95
1;;produits pour blanchir les huiles;;OMPI;;3;96
1;;dispersants d'huiles;;OMPI;;3;97
1;;dispersants de pétrole;;OMPI;;3;98
1;;huiles pour la tannerie;;OMPI;;3;99
1;;huiles pour l'habillage des cuirs;;OMPI;;3;100
1;;huiles pour la conservation des aliments;;OMPI;;4;1
1;;produits chimiques pour l'horticulture à l'exception des fongicides, herbicides, insecticides et parasiticides;;OMPI;;4;2
1;;hormones pour activer la maturation des fruits;;OMPI;;4;3
1;;holmium;;OMPI;;4;4
1;;hélium;;OMPI;;4;5
1;;baume de gurgu pour la fabrication de vernis;;OMPI;;4;6
1;;baume de gurgum pour la fabrication de vernis;;OMPI;;4;7
1;;baume de gurjum pour la fabrication de vernis;;OMPI;;4;8
1;;baume de gurjun pour la fabrication de vernis;;OMPI;;4;9
1;;guano;;OMPI;;4;10
1;;mastic à greffer les arbres;;OMPI;;4;11
1;;acides gras;;OMPI;;4;12
1;;produits chimiques de blanchiment des graisses;;OMPI;;4;13
1;;produits chimiques pour blanchir les graisses;;OMPI;;4;14
1;;produits pour blanchir les graisses;;OMPI;;4;15
1;;glycol;;OMPI;;4;16
1;;glycérides;;OMPI;;4;17
1;;glucosides;;OMPI;;4;18
1;;glu;;OMPI;;4;19
1;;glace sèche;;OMPI;;4;20
1;;glace sèche (carbonique);;OMPI;;4;21
1;;getters (matières réactives);;OMPI;;4;22
1;;sel gemme;;OMPI;;4;23
1;;gélatine à usage industriel;;OMPI;;4;24
1;;gélatine à usage photographique;;OMPI;;4;25
1;;gaz solidifiés à usage industriel;;OMPI;;4;26
1;;gaz protecteurs pour le soudage;;OMPI;;4;27
1;;gambir;;OMPI;;4;28
1;;produits pour la galvanisation;;OMPI;;4;29
1;;acide gallotannique;;OMPI;;4;30
1;;papier pour la photographie;;OMPI;;4;31
1;;gallium;;OMPI;;4;32
1;;acide gallique pour la fabrication de l'encre;;OMPI;;4;33
1;;noix de galle;;OMPI;;4;34
1;;gadolinium;;OMPI;;4;35
1;;préparations chimiques pour le fumage de viande;;OMPI;;4;36
1;;noir de fumée à usage industriel;;OMPI;;4;37
1;;liquides pour freins;;OMPI;;4;38
1;;francium;;OMPI;;4;39
1;;matières à foulon;;OMPI;;4;40
1;;produits de foulage pour l'industrie textile;;OMPI;;4;41
1;;aldéhyde formique à usage chimique;;OMPI;;4;42
1;;acide formique;;OMPI;;4;43
1;;additifs chimiques aux fongicides;;OMPI;;4;44
1;;additifs chimiques aux insecticides;;OMPI;;4;45
1;;préparations de moulage pour la fonderie;;OMPI;;4;46
1;;liaisons pour la fonderie;;OMPI;;4;47
1;;liants pour la fonderie;;OMPI;;4;48
1;;graphite à usage industriel;;OMPI;;4;49
1;;acide fluorhydrique;;OMPI;;4;50
1;;composés de fluor;;OMPI;;4;51
1;;fluor;;OMPI;;4;52
1;;produits pour la fluatation;;OMPI;;4;53
1;;fleur de soufre à usage chimique;;OMPI;;4;54
1;;fixateurs (photographie);;OMPI;;4;55
1;;corps fissiles pour l'énergie nucléaire;;OMPI;;4;56
1;;agents de filtrage pour l'industrie des boissons;;OMPI;;4;57
1;;compositions pour le filetage;;OMPI;;4;58
1;;ignifuges;;OMPI;;4;59
1;;produits d'ignifugation;;OMPI;;4;60
1;;produits ignifuges;;OMPI;;4;61
1;;produits pour la protection contre le feu;;OMPI;;4;62
1;;préparations d'ignifugation;;OMPI;;4;63
1;;préparations ignifuges;;OMPI;;4;64
1;;préparations pour la protection contre le feu;;OMPI;;4;65
1;;préparations fertilisantes;;OMPI;;4;66
1;;plaques ferrotypiques;;OMPI;;4;67
1;;plaques ferrotypiques (photographie);;OMPI;;4;68
1;;ferments à usage chimique;;OMPI;;4;69
1;;sels de fer;;OMPI;;4;70
1;;farines à usage industriel;;OMPI;;4;71
1;;compositions extinctrices;;OMPI;;4;72
1;;compositions pour l'extinction d'incendies;;OMPI;;4;73
1;;europium;;OMPI;;4;74
1;;produits chimiques pour empêcher la formation de taches sur les étoffes;;OMPI;;4;75
1;;éther sulfurique;;OMPI;;4;76
1;;éther de méthyle;;OMPI;;4;77
1;;éther méthylique;;OMPI;;4;78
1;;éthers de glycol;;OMPI;;4;79
1;;éther d'éthyle;;OMPI;;4;80
1;;éther éthylique;;OMPI;;4;81
1;;éthers;;OMPI;;4;82
1;;éthane;;OMPI;;4;83
1;;esters;;OMPI;;4;84
1;;papier chimique pour essais;;OMPI;;4;85
1;;papiers réactifs pour analyses chimiques;;OMPI;;4;86
1;;esprit de vinaigre;;OMPI;;4;87
1;;esprit de vinaigre (acide acétique dilué);;OMPI;;4;88
1;;erbium;;OMPI;;4;89
1;;produits pour l'épuration du gaz;;OMPI;;4;90
1;;résines époxy à l'état brut;;OMPI;;4;91
1;;enzymes à usage industriel;;OMPI;;4;92
1;;préparations enzymatiques à usage industriel;;OMPI;;4;93
1;;engrais;;OMPI;;4;94
1;;fertilisants;;OMPI;;4;95
1;;produits pour l'encollage;;OMPI;;4;96
1;;préparations d'encollage;;OMPI;;4;97
1;;préparations pour l'encollage;;OMPI;;4;98
1;;plaques photographiques sensibilisées;;OMPI;;4;99
1;;émulsifiants;;OMPI;;4;100
1;;émulsificateurs;;OMPI;;5;1
1;;émulsions photographiques;;OMPI;;5;2
1;;produits chimiques pour la ternissure des émaux;;OMPI;;5;3
1;;produits pour opacifier l'émail ou le verre;;OMPI;;5;4
1;;produits pour opacifier le verre;;OMPI;;5;5
1;;produits pour opacifier l'émail;;OMPI;;5;6
1;;sels pour éléments galvaniques;;OMPI;;5;7
1;;produits contre l'électricité statique non à usage ménager;;OMPI;;5;8
1;;papier réactif autre qu'à usage médical ou vétérinaire;;OMPI;;5;9
1;;produits pour économiser les combustibles;;OMPI;;5;10
1;;préparations pour économiser les combustibles;;OMPI;;5;11
1;;produits pour la production de flashes;;OMPI;;5;12
1;;échangeurs d'ions (produits chimiques);;OMPI;;5;13
1;;préparations de clarification;;OMPI;;5;14
1;;eau lourde;;OMPI;;5;15
1;;glycérine à usage industriel;;OMPI;;5;16
1;;eau acidulée pour la recharge des accumulateurs;;OMPI;;5;17
1;;dysprosium;;OMPI;;5;18
1;;préparations pour durcir les métaux;;OMPI;;5;19
1;;préparations pour la trempe des métaux;;OMPI;;5;20
1;;dolomite à usage industriel;;OMPI;;5;21
1;;eau distillée;;OMPI;;5;22
1;;produits pour la rénovation des disques acoustiques;;OMPI;;5;23
1;;papier diazo;;OMPI;;5;24
1;;diastases à usage industriel;;OMPI;;5;25
1;;préparations de diagnostic autres qu'à usage médical ou vétérinaire;;OMPI;;5;26
